step,agent_idx,junction_id,reward,episode_reward
33,7,J12,-1.5e-05,27.591966217223383
33,8,J22,0.299985,27.591966217223383
34,0,J0,-0.000715,28.441824028084554
34,1,J1,-1.5e-05,28.441824028084554
34,2,J5,-1.5e-05,28.441824028084554
34,3,J6,0.025677810861169256,28.441824028084554
34,4,J7,-1.5e-05,28.441824028084554
34,5,J10,0.224985,28.441824028084554
34,6,J11,-1.5e-05,28.441824028084554
34,7,J12,0.299985,28.441824028084554
34,8,J22,0.299985,28.441824028084554
35,0,J0,-0.000715,29.591681838945725
35,1,J1,-1.5e-05,29.591681838945725
35,2,J5,0.299985,29.591681838945725
35,3,J6,0.32567781086116926,29.591681838945725
35,4,J7,-1.5e-05,29.591681838945725
35,5,J10,0.224985,29.591681838945725
35,6,J11,-1.5e-05,29.591681838945725
35,7,J12,0.299985,29.591681838945725
35,8,J22,-1.5e-05,29.591681838945725
36,0,J0,0.149285,30.516539649806894
36,1,J1,-1.5e-05,30.516539649806894
36,2,J5,0.299985,30.516539649806894
36,3,J6,0.025677810861169256,30.516539649806894
36,4,J7,-1.5e-05,30.516539649806894
36,5,J10,0.149985,30.516539649806894
36,6,J11,0.299985,30.516539649806894
36,7,J12,-1.5e-05,30.516539649806894
36,8,J22,-1.5e-05,30.516539649806894
37,0,J0,-0.000715,30.741397460668065
37,1,J1,-1.5e-05,30.741397460668065
37,2,J5,-1.5e-05,30.741397460668065
37,3,J6,0.22567781086116923,30.741397460668065
37,4,J7,-1.5e-05,30.741397460668065
37,5,J10,-1.5e-05,30.741397460668065
37,6,J11,-1.5e-05,30.741397460668065
37,7,J12,-1.5e-05,30.741397460668065
37,8,J22,-1.5e-05,30.741397460668065
38,0,J0,0.149285,31.566255271529233
38,1,J1,-1.5e-05,31.566255271529233
38,2,J5,-1.5e-05,31.566255271529233
38,3,J6,0.22567781086116923,31.566255271529233
38,4,J7,0.299985,31.566255271529233
38,5,J10,0.149985,31.566255271529233
38,6,J11,-1.5e-05,31.566255271529233
38,7,J12,-1.5e-05,31.566255271529233
38,8,J22,-1.5e-05,31.566255271529233
39,0,J0,0.29928499999999997,32.8661130823904
39,1,J1,0.149985,32.8661130823904
39,2,J5,0.299985,32.8661130823904
39,3,J6,0.025677810861169256,32.8661130823904
39,4,J7,-1.5e-05,32.8661130823904
39,5,J10,0.224985,32.8661130823904
39,6,J11,-1.5e-05,32.8661130823904
39,7,J12,-1.5e-05,32.8661130823904
39,8,J22,0.299985,32.8661130823904
40,0,J0,-0.000715,34.16597089325157
40,1,J1,0.149985,34.16597089325157
40,2,J5,0.299985,34.16597089325157
40,3,J6,0.025677810861169256,34.16597089325157
40,4,J7,0.299985,34.16597089325157
40,5,J10,0.224985,34.16597089325157
40,6,J11,-1.5e-05,34.16597089325157
40,7,J12,0.299985,34.16597089325157
40,8,J22,-1.5e-05,34.16597089325157
41,0,J0,-0.000715,34.79082870411274
41,1,J1,-1.5e-05,34.79082870411274
41,2,J5,-1.5e-05,34.79082870411274
41,3,J6,0.025677810861169256,34.79082870411274
41,4,J7,-1.5e-05,34.79082870411274
41,5,J10,-1.5e-05,34.79082870411274
41,6,J11,-1.5e-05,34.79082870411274
41,7,J12,0.299985,34.79082870411274
41,8,J22,0.299985,34.79082870411274
42,0,J0,-0.000715,35.11568651497391
42,1,J1,-1.5e-05,35.11568651497391
42,2,J5,-1.5e-05,35.11568651497391
42,3,J6,0.025677810861169256,35.11568651497391
42,4,J7,-1.5e-05,35.11568651497391
42,5,J10,-1.5e-05,35.11568651497391
42,6,J11,-1.5e-05,35.11568651497391
42,7,J12,-1.5e-05,35.11568651497391
42,8,J22,0.299985,35.11568651497391
